Region,City,Master Group,Master Category,Cost Price [INR],Net Number,Bill Number,Gross Sales Value (GSV) [INR],Net Sales Value [INR],Gross Profit [INR],Gross Profit Margin [%],Net Receivables [INR],Transaction Number,Sale Type,Sale Date,Customer ID,Group,Sub Category,Gender,Theme,Net Weight,Gross Weight,Quantity,Diamond Weight (CWT),Serial Number
North,HYDERABAD,Antique,Bracelets,1701722.24,188,BB10249,2180237.62,2071697.14,108540.48,4.98,19252,NS001-643105194-903,Online,17-03-2025,C10249,Bracelets,classic,Male,IND-GOLD,17.31,19.18,1,1.87,A311924
West,BANGALORE,Antique,Bangles,2319833.99,257,BB10250,2925322.01,2850788.39,74533.62,2.55,19834,NS001-928978463-589,Store,16-04-2025,C10250,Chains,bold,Female,IND-GOLD,38.19,39.47,1,1.94,A647895
West,HYDERABAD,Antique,Bracelets,2474180.29,368,BB10251,3133483.37,3024008.64,109474.73,3.49,18043,NS001-366841696-214,Online,01-03-2025,C10251,Bracelets,classic,Male,PCJ-PLAIN,29.71,30.41,2,0.22,A816615
West,MUMBAI,Antique,Rings,1489082.33,259,BB10252,1930007.63,1856739.54,73268.09,3.8,17556,NS001-198282550-661,Store,30-04-2025,C10252,Chains,xyz,Female,IND-GOLD,21.99,23.75,3,0.51,A374197
North,MUMBAI,CZ,Bracelets,1763130.78,212,BB10253,2101384.45,2004553.03,96831.42,4.61,11552,NS001-366368391-290,Online,05-03-2025,C10253,Rings,classic,Female,PCJ-PLAIN,35.22,36.36,1,1.45,A905453
North,MUMBAI,CZ,Bangles,2297218.8,340,BB10254,2815319.88,2746790.16,68529.72,2.43,12942,NS001-682952850-605,Online,21-03-2025,C10254,Bangles,abc,Male,TRADITIONAL,34.29,35.37,3,0.62,A258742
East,DELHI,KDM,Chains,2024343.73,336,BB10255,2311233.35,2239786.91,71446.44,3.09,17112,NS001-820018720-253,Online,21-03-2025,C10255,Bangles,classic,Female,MODERN,14.54,16.41,3,1.1,A337704
South,MUMBAI,CZ,Bangles,1027569.92,405,BB10256,1324004.5,1283382.4,40622.1,3.07,11214,NS001-133922215-911,Store,09-04-2025,C10256,Rings,xyz,Female,MODERN,12.57,13.55,1,1.98,A820893
North,HYDERABAD,Antique,Bangles,2251390.89,235,BB10257,2577927.98,2510561.2,67366.78,2.61,12800,NS001-513195621-742,Online,07-04-2025,C10257,Bangles,abc,Female,MODERN,18.33,19.53,2,0.85,A368502
Central,MUMBAI,KDM,Bracelets,1265567.9,373,BB10258,1606484.08,1581968.5,24515.58,1.53,17194,NS001-218503305-354,Online,27-03-2025,C10258,Bracelets,xyz,Male,PCJ-PLAIN,38.04,39.98,1,1.82,A387855
West,CHENNAI,Plain,Chains,2261010.08,221,BB10259,2697343.84,2665080.81,32263.03,1.2,12365,NS001-619081038-740,Online,12-03-2025,C10259,Bangles,abc,Female,MODERN,29.57,30.87,3,1.54,A111222
East,CHENNAI,CZ,Bangles,1978853.81,228,BB10260,2261351.47,2199118.9,62232.57,2.75,11848,NS001-748652611-826,Store,05-03-2025,C10260,Chains,classic,Male,MODERN,38.87,40.26,3,1.14,A112790
North,CHENNAI,CZ,Bangles,1104217.72,432,BB10261,1259054.79,1226488.21,32566.58,2.59,15613,NS001-772391300-171,Online,17-03-2025,C10261,Bangles,xyz,Male,IND-GOLD,46.7,48.19,3,1.51,A751867
East,HYDERABAD,KDM,Bracelets,1495100.12,304,BB10262,1943207.68,1917433.01,25774.67,1.33,14103,NS001-538115851-493,Store,02-04-2025,C10262,Bangles,bold,Female,MODERN,12.51,13.6,3,2.22,A184117
South,BANGALORE,CZ,Bracelets,1552164.37,455,BB10263,1859332.45,1792401.59,66930.86,3.6,10597,NS001-797449051-613,Store,09-03-2025,C10263,Rings,abc,Female,MODERN,11.97,12.6,2,2.38,A878703
West,BANGALORE,Antique,Bangles,1643737.73,443,BB10264,1824524.63,1754574.44,69950.19,3.83,18772,NS001-407483722-991,Online,12-03-2025,C10264,Bangles,classic,Male,TRADITIONAL,48.56,49.17,1,0.8,A384992
South,CHENNAI,CZ,Chains,1263630.34,252,BB10265,1465936.6,1442244.73,23691.87,1.62,18360,NS001-912985311-635,Store,11-04-2025,C10265,Chains,xyz,Male,IND-GOLD,14.51,15.71,3,0.78,A811004
South,MUMBAI,KDM,Rings,2122718.96,159,BB10266,2688290.49,2622597.23,65693.26,2.44,13343,NS001-245556508-671,Online,14-03-2025,C10266,Bangles,classic,Male,MODERN,43.55,45.13,1,1.98,A139663
Central,HYDERABAD,CZ,Rings,2399822.6,308,BB10267,3109203.21,3033515.5,75687.71,2.43,18550,NS001-695782388-262,Online,20-04-2025,C10267,Chains,xyz,Male,TRADITIONAL,39.81,41.69,2,1.81,A444369
Central,DELHI,KDM,Chains,1152435.35,265,BB10268,1416775.44,1387198.96,29576.48,2.09,10344,NS001-905721246-173,Online,30-04-2025,C10268,Bangles,classic,Female,IND-GOLD,39.72,40.33,2,0.97,A869200
East,CHENNAI,Antique,Bangles,1462466.3,214,BB10269,1814101.01,1761959.81,52141.2,2.87,14665,NS001-538425410-992,Online,06-03-2025,C10269,Rings,bold,Female,PCJ-PLAIN,23.16,24.18,1,1.61,A343440
South,CHENNAI,Plain,Bracelets,1683740.78,326,BB10270,1864924.39,1802504.15,62420.24,3.35,12782,NS001-230815521-290,Online,02-04-2025,C10270,Chains,xyz,Female,IND-GOLD,22.31,24.03,1,0.39,A464035
North,MUMBAI,Antique,Bracelets,2370752.75,368,BB10271,2819808.15,2783514.36,36293.79,1.29,15112,NS001-923838614-572,Store,22-03-2025,C10271,Rings,xyz,Male,TRADITIONAL,23.1,24.58,1,0.45,A586328
East,MUMBAI,CZ,Chains,1166873.4,437,BB10272,1306727.38,1275536.93,31190.45,2.39,10731,NS001-967485216-518,Store,20-03-2025,C10272,Rings,bold,Male,TRADITIONAL,25.1,26.7,1,1.76,A793362
South,CHENNAI,Plain,Rings,2484170.78,161,BB10273,2819036.11,2701055.26,117980.85,4.19,18741,NS001-455013479-289,Online,19-03-2025,C10273,Bracelets,xyz,Female,TRADITIONAL,37.25,38.95,2,0.16,A107248
North,CHENNAI,Plain,Bangles,1572308.69,491,BB10274,1895739.66,1844127.37,51612.29,2.72,19078,NS001-105558175-191,Store,15-04-2025,C10274,Bracelets,bold,Male,TRADITIONAL,35.62,36.55,1,2.07,A785682
West,DELHI,KDM,Rings,2344287.78,406,BB10275,2745768.06,2633757.03,112011.03,4.08,14999,NS001-576162211-844,Online,29-04-2025,C10275,Bangles,classic,Female,TRADITIONAL,40.74,41.54,3,0.51,A114336
North,MUMBAI,CZ,Bracelets,2357735.46,315,BB10276,2885625.42,2821306.67,64318.75,2.23,18611,NS001-726904444-571,Online,24-04-2025,C10276,Bangles,classic,Male,IND-GOLD,19.41,21,1,1.14,A851287
Central,DELHI,CZ,Bangles,1222875.7,225,BB10277,1372442.32,1308912.86,63529.46,4.63,13849,NS001-426853777-816,Online,13-04-2025,C10277,Bangles,xyz,Male,TRADITIONAL,31.48,32.54,1,1,A225336
North,HYDERABAD,KDM,Bangles,2474915.72,142,BB10278,3122953.92,2973713.04,149240.88,4.78,16051,NS001-389400412-258,Online,13-04-2025,C10278,Rings,xyz,Female,TRADITIONAL,22.6,23.93,1,0.33,A927333
West,DELHI,Plain,Bracelets,1146064.37,175,BB10279,1293836.97,1234879.64,58957.33,4.56,18815,NS001-600186696-386,Online,04-03-2025,C10279,Chains,abc,Male,PCJ-PLAIN,36.88,38.05,1,2.22,A261242
Central,CHENNAI,Antique,Bracelets,1192819.72,369,BB10280,1523320.17,1452726.12,70594.05,4.63,19983,NS001-536078955-128,Store,15-04-2025,C10280,Chains,bold,Female,TRADITIONAL,46.5,47.5,2,0.93,A736700
South,DELHI,CZ,Rings,1181829.08,380,BB10281,1477568.88,1425713.01,51855.87,3.51,18264,NS001-849320481-417,Online,01-04-2025,C10281,Rings,bold,Male,MODERN,17.16,18.02,1,1.93,A739460
Central,HYDERABAD,Antique,Bracelets,1688824.11,375,BB10282,2120333.5,2048423.2,71910.3,3.39,14845,NS001-767313836-983,Store,29-03-2025,C10282,Bangles,bold,Male,MODERN,25.98,27.2,1,1.39,A732506
South,HYDERABAD,Antique,Chains,1018240.06,385,BB10283,1276909.71,1250934.9,25974.81,2.03,17253,NS001-553473931-776,Store,27-04-2025,C10283,Bracelets,bold,Male,TRADITIONAL,17.78,18.89,1,1.4,A378108
East,DELHI,Plain,Bracelets,1348142.67,298,BB10284,1734147.39,1688011.26,46136.13,2.66,13862,NS001-376662436-914,Store,06-04-2025,C10284,Chains,xyz,Male,MODERN,45.85,47.64,3,1.58,A930499
Central,MUMBAI,Antique,Bangles,1262388.38,434,BB10285,1598618.04,1581824.65,16793.39,1.05,19801,NS001-337889133-528,Online,29-03-2025,C10285,Bangles,bold,Female,IND-GOLD,44.94,45.59,1,1.3,A644696
West,CHENNAI,Antique,Bracelets,1183279.1,498,BB10286,1331867.35,1280139.13,51728.22,3.88,10550,NS001-319245365-694,Store,06-03-2025,C10286,Bracelets,xyz,Female,IND-GOLD,44.15,45.33,1,0.57,A553556
East,CHENNAI,Plain,Chains,1366132.53,472,BB10287,1705321.45,1621928.92,83392.53,4.89,11348,NS001-823341370-646,Online,24-04-2025,C10287,Chains,classic,Female,PCJ-PLAIN,36.82,37.88,2,1.87,A989876
Central,HYDERABAD,CZ,Rings,2075193.46,413,BB10288,2394402.66,2329726.35,64676.31,2.7,17287,NS001-429137025-380,Store,23-04-2025,C10288,Rings,xyz,Male,TRADITIONAL,43.48,45.27,3,2.23,A604846
Central,DELHI,Antique,Bangles,1373038.98,259,BB10289,1572958.18,1527177.55,45780.63,2.91,16769,NS001-884206459-393,Online,19-03-2025,C10289,Rings,abc,Female,IND-GOLD,21.97,23.75,2,1.27,A946104
North,CHENNAI,Plain,Rings,1661167.33,235,BB10290,2034804.38,2008612.95,26191.43,1.29,10858,NS001-816435848-812,Store,06-04-2025,C10290,Bracelets,xyz,Male,IND-GOLD,13.38,14.76,3,0.91,A100927
East,CHENNAI,CZ,Bracelets,2407068.52,308,BB10291,2692804.45,2602199.2,90605.25,3.36,13976,NS001-459051482-715,Store,15-03-2025,C10291,Bangles,xyz,Male,IND-GOLD,48.78,49.96,1,2.13,A365140
North,MUMBAI,Plain,Bangles,2335279.39,277,BB10292,2852660.8,2723681.43,128979.37,4.52,18323,NS001-841503365-604,Store,01-04-2025,C10292,Chains,xyz,Male,MODERN,48.49,50.46,1,0.47,A884497
North,CHENNAI,KDM,Chains,1129265.2,213,BB10293,1262625.87,1248417.13,14208.74,1.13,11352,NS001-675257962-432,Store,17-04-2025,C10293,Rings,classic,Female,MODERN,40.68,42.08,1,1.76,A157094
North,HYDERABAD,CZ,Chains,1891119.34,471,BB10294,2369786.7,2283329.21,86457.49,3.65,15246,NS001-799150791-434,Online,21-03-2025,C10294,Bracelets,bold,Female,PCJ-PLAIN,31.8,33.1,3,0.41,A888823
South,CHENNAI,Antique,Bracelets,1124793.96,222,BB10295,1240446.07,1223838.52,16607.55,1.34,18397,NS001-476878480-125,Store,25-03-2025,C10295,Rings,classic,Male,PCJ-PLAIN,41.67,42.75,2,0.4,A151101
Central,DELHI,Plain,Chains,1351187.77,336,BB10296,1729567.93,1651492.18,78075.75,4.51,15913,NS001-967228019-198,Online,14-03-2025,C10296,Bracelets,abc,Female,PCJ-PLAIN,30.67,32.61,2,1.37,A533846
East,HYDERABAD,KDM,Bangles,1603833.62,384,BB10297,1928416.82,1884182.75,44234.07,2.29,15594,NS001-321745136-979,Online,29-03-2025,C10297,Rings,abc,Male,TRADITIONAL,25.99,27.42,1,1.69,A828888
North,DELHI,CZ,Bangles,1715713.05,393,BB10298,1907489.28,1868538.45,38950.83,2.04,14673,NS001-753469052-247,Online,20-04-2025,C10298,Chains,classic,Female,PCJ-PLAIN,48.14,49.53,3,2.45,A403459
Central,DELHI,Plain,Bracelets,1734801.69,269,BB10299,2251351.05,2142549.26,108801.79,4.83,18131,NS001-283206209-724,Online,14-04-2025,C10299,Chains,bold,Female,IND-GOLD,42.68,44.54,3,0.59,A337884
North,CHENNAI,Antique,Bangles,1002608.62,459,BB10300,1248948.78,1188848.52,60100.26,4.81,11995,NS001-904307092-827,Online,25-03-2025,C10300,Chains,classic,Female,MODERN,20,21,2,1.65,A271579
Central,CHENNAI,Plain,Bangles,1831072.35,205,BB10301,2066800.48,2012552.36,54248.12,2.62,16681,NS001-562109406-601,Online,05-04-2025,C10301,Chains,bold,Female,TRADITIONAL,45.25,47.02,3,0.03,A102443
West,DELHI,CZ,Rings,1364963.35,231,BB10302,1615633,1592468.8,23164.2,1.43,10194,NS001-560600803-962,Online,12-04-2025,C10302,Bracelets,classic,Male,MODERN,28.56,29.93,1,1.53,A707866
South,DELHI,Plain,Rings,1704680.13,241,BB10303,2146796.19,2094231.25,52564.94,2.45,11546,NS001-814521675-558,Store,16-04-2025,C10303,Bracelets,xyz,Male,PCJ-PLAIN,36.47,38.25,3,0.03,A458390
East,CHENNAI,CZ,Chains,1913399.5,352,BB10304,2245196.42,2198072.47,47123.95,2.1,13040,NS001-549201939-473,Online,11-04-2025,C10304,Bangles,xyz,Female,TRADITIONAL,37.88,39.45,2,0.41,A370629
North,CHENNAI,Plain,Rings,2462335.91,217,BB10305,3086763.81,2965423.29,121340.52,3.93,19859,NS001-321868896-900,Online,27-03-2025,C10305,Rings,classic,Male,MODERN,13.92,15.6,3,1.69,A886801
Central,MUMBAI,Plain,Bracelets,2256204.32,339,BB10306,2532057.52,2503400.87,28656.65,1.13,16963,NS001-585644041-396,Store,26-03-2025,C10306,Bangles,abc,Female,PCJ-PLAIN,40.85,41.69,1,2.45,A592687
South,HYDERABAD,Plain,Rings,2110949.75,449,BB10307,2687361.6,2624070.42,63291.18,2.36,12752,NS001-326234665-316,Store,01-04-2025,C10307,Bangles,xyz,Male,MODERN,49.19,51.14,1,1.79,A429735
Central,DELHI,CZ,Bangles,1756670.52,167,BB10308,2254994.27,2164619.67,90374.6,4.01,14710,NS001-243119414-180,Online,29-04-2025,C10308,Rings,bold,Male,PCJ-PLAIN,34,34.88,3,1.53,A198891
North,BANGALORE,Plain,Bangles,1614797.53,390,BB10309,2083860.53,2017769.82,66090.71,3.17,18470,NS001-509892043-855,Online,30-04-2025,C10309,Bangles,xyz,Female,IND-GOLD,34.36,35.86,1,2.18,A322539
Central,CHENNAI,CZ,Rings,2140631.08,191,BB10310,2661046.16,2586538.08,74508.08,2.8,16828,NS001-420770587-556,Online,24-04-2025,C10310,Bracelets,bold,Male,TRADITIONAL,46.03,46.83,3,0.57,A866414
East,CHENNAI,CZ,Bracelets,1065305.04,181,BB10311,1175755.24,1143839.11,31916.13,2.71,19988,NS001-370511636-882,Store,16-03-2025,C10311,Bracelets,classic,Female,PCJ-PLAIN,23.62,24.72,1,1.96,A527515
South,DELHI,KDM,Bangles,1739471.97,454,BB10312,2163879.98,2087687.83,76192.15,3.52,14091,NS001-745131217-953,Store,24-03-2025,C10312,Chains,xyz,Male,MODERN,22.91,23.85,2,0.13,A669991
Central,DELHI,Antique,Bracelets,2171800.59,310,BB10313,2785456.09,2739393.55,46062.54,1.65,12341,NS001-518729397-901,Store,03-04-2025,C10313,Rings,abc,Male,TRADITIONAL,36.84,37.51,2,2.26,A892089
North,MUMBAI,Plain,Chains,2495571,281,BB10314,2952624.2,2832404.98,120219.22,4.07,16593,NS001-263461879-702,Online,13-03-2025,C10314,Bracelets,xyz,Female,TRADITIONAL,46.65,48.12,1,0.18,A275582
North,HYDERABAD,Antique,Bracelets,1892198.06,301,BB10315,2208494.29,2113861.19,94633.1,4.28,18398,NS001-889041592-528,Store,08-03-2025,C10315,Rings,classic,Male,IND-GOLD,37.22,38.41,1,0.53,A236752
South,BANGALORE,KDM,Chains,1170886.7,320,BB10316,1484231.32,1438679.8,45551.52,3.07,13938,NS001-475202049-359,Store,12-04-2025,C10316,Chains,bold,Male,MODERN,32.67,33.95,2,1.17,A236579
West,BANGALORE,Plain,Bracelets,1873273.03,304,BB10317,2194758.04,2093935.23,100822.81,4.59,12818,NS001-791591181-502,Online,19-03-2025,C10317,Rings,abc,Male,MODERN,42.16,42.93,1,1.17,A116594
North,BANGALORE,Antique,Rings,2123026.44,156,BB10318,2385601.4,2353910.14,31691.26,1.33,12613,NS001-557650811-767,Store,26-04-2025,C10318,Rings,bold,Female,IND-GOLD,22,23.38,3,1.14,A361748
North,HYDERABAD,CZ,Bangles,1984604.84,465,BB10319,2316232.49,2265290.1,50942.39,2.2,14238,NS001-316867293-409,Store,10-03-2025,C10319,Rings,bold,Male,PCJ-PLAIN,47.21,48.61,3,1.4,A167720
East,CHENNAI,Antique,Bracelets,1693681.27,220,BB10320,2056849.32,1955891.27,100958.05,4.91,19704,NS001-516762369-318,Online,21-03-2025,C10320,Chains,classic,Female,PCJ-PLAIN,11.64,12.15,1,1.03,A482169
East,BANGALORE,Plain,Rings,1530018.84,114,BB10321,1750045.03,1709803.39,40241.64,2.3,19094,NS001-728309383-490,Store,19-03-2025,C10321,Bracelets,xyz,Female,IND-GOLD,28.32,29.92,1,0.16,A956752
East,MUMBAI,KDM,Bangles,1433969.55,368,BB10322,1823925.7,1742812.78,81112.92,4.45,11499,NS001-949859237-564,Online,16-03-2025,C10322,Bracelets,bold,Female,PCJ-PLAIN,24.55,26.53,2,0.29,A218282
Central,DELHI,CZ,Bangles,1053082.62,348,BB10323,1280569.18,1236105.61,44463.57,3.47,10328,NS001-467932336-349,Store,26-04-2025,C10323,Bangles,xyz,Female,IND-GOLD,38.38,39.54,2,1.58,A313284
East,HYDERABAD,Plain,Chains,1450361.75,385,BB10324,1846608.56,1819942.12,26666.44,1.44,14503,NS001-177173828-154,Online,15-04-2025,C10324,Bracelets,abc,Female,MODERN,20.72,21.44,3,0.56,A503233
East,DELHI,CZ,Bangles,2191666.97,240,BB10325,2769543.62,2653130.37,116413.25,4.2,15147,NS001-934337604-872,Store,11-03-2025,C10325,Rings,bold,Female,MODERN,16.14,17.81,2,1.04,A551748
Central,CHENNAI,KDM,Bracelets,2316337.28,479,BB10326,2913444.45,2872029.62,41414.83,1.42,15008,NS001-218666614-271,Store,22-04-2025,C10326,Bangles,xyz,Female,TRADITIONAL,46.62,47.47,1,2.36,A448144
South,BANGALORE,KDM,Chains,1843895.32,103,BB10327,2194595.57,2113805.03,80790.54,3.68,16826,NS001-938777583-477,Online,27-04-2025,C10327,Bangles,bold,Male,MODERN,39.47,40.61,3,1.74,A935530
North,CHENNAI,Antique,Rings,1162496.28,350,BB10328,1475928.85,1436018.12,39910.73,2.7,18941,NS001-953066810-738,Store,11-03-2025,C10328,Bangles,classic,Male,IND-GOLD,31.71,32.67,3,1.74,A781153
Central,HYDERABAD,Plain,Bracelets,1711390.67,332,BB10329,2017855.58,1934253.45,83602.13,4.14,18307,NS001-150194765-523,Online,17-04-2025,C10329,Bangles,bold,Male,TRADITIONAL,37.25,38.09,3,1.6,A865736
West,BANGALORE,KDM,Chains,2258552.12,292,BB10330,2863292.95,2721684.15,141608.8,4.95,14102,NS001-242047149-262,Online,16-03-2025,C10330,Bracelets,classic,Male,PCJ-PLAIN,25.18,26.15,1,0.03,A871403
North,CHENNAI,Plain,Chains,2065234.41,313,BB10331,2325036.4,2216573.73,108462.67,4.66,19600,NS001-806373491-843,Online,15-04-2025,C10331,Bracelets,bold,Male,TRADITIONAL,35.82,36.35,3,0.99,A204001
East,BANGALORE,CZ,Chains,2137071.81,255,BB10332,2511660.75,2484683.99,26976.76,1.07,11416,NS001-986813590-925,Store,06-03-2025,C10332,Bangles,bold,Male,PCJ-PLAIN,49.09,50.11,1,1.67,A380645
West,DELHI,Antique,Chains,1227407.64,487,BB10333,1507308.58,1449806.81,57501.77,3.81,18356,NS001-564888102-620,Store,30-04-2025,C10333,Bangles,bold,Male,PCJ-PLAIN,34.14,34.77,3,0.05,A874288
North,MUMBAI,Antique,Bangles,1730814.73,469,BB10334,2177510.6,2089981.76,87528.84,4.02,15295,NS001-858520974-754,Store,11-03-2025,C10334,Bangles,xyz,Female,MODERN,40.82,41.47,2,1.9,A456131
West,HYDERABAD,KDM,Bangles,1377009.8,146,BB10335,1686560.35,1605039.69,81520.66,4.83,16054,NS001-648165897-459,Online,23-04-2025,C10335,Rings,bold,Female,IND-GOLD,27.27,29.26,2,0.23,A815460
Central,DELHI,CZ,Rings,1000318.42,439,BB10336,1240926.66,1189198.36,51728.3,4.17,14730,NS001-628037086-876,Online,13-03-2025,C10336,Rings,abc,Male,IND-GOLD,25.53,27.32,2,0.31,A380925
East,HYDERABAD,CZ,Bracelets,2076344.23,412,BB10337,2435923.74,2404119.28,31804.46,1.31,13539,NS001-397332413-949,Online,14-03-2025,C10337,Bangles,abc,Male,MODERN,17.04,18.04,2,1.81,A722302
South,HYDERABAD,KDM,Rings,1778922.73,100,BB10338,2298867.8,2213346.45,85521.35,3.72,16446,NS001-929810794-865,Online,15-03-2025,C10338,Bangles,abc,Male,PCJ-PLAIN,37.17,38.06,3,0.51,A487292
Central,CHENNAI,Antique,Rings,1547226.82,375,BB10339,1958246.66,1920326.93,37919.73,1.94,13035,NS001-685576597-264,Online,20-03-2025,C10339,Bracelets,classic,Male,TRADITIONAL,28.54,30,1,1.51,A437027
Central,MUMBAI,KDM,Rings,1616205.51,143,BB10340,1996107.58,1970292.04,25815.54,1.29,10912,NS001-168470171-598,Store,07-04-2025,C10340,Bangles,classic,Female,PCJ-PLAIN,48.4,50.38,2,1.04,A795054
Central,HYDERABAD,Antique,Chains,1077122.93,416,BB10341,1272241.8,1216541.93,55699.87,4.38,15432,NS001-434920597-912,Online,10-03-2025,C10341,Bangles,classic,Male,PCJ-PLAIN,28.86,30.18,2,1.13,A750868
East,CHENNAI,KDM,Bangles,1675763.14,196,BB10342,1911601.79,1824581.08,87020.71,4.55,18747,NS001-646519845-223,Store,07-04-2025,C10342,Rings,xyz,Male,PCJ-PLAIN,43.42,44.23,2,1.27,A525622
East,MUMBAI,KDM,Rings,1417374.63,211,BB10343,1608448.47,1545046.91,63401.56,3.94,17645,NS001-685601137-956,Online,09-04-2025,C10343,Rings,abc,Male,IND-GOLD,45.89,47.69,3,0.1,A791440
South,HYDERABAD,KDM,Rings,1745537.65,424,BB10344,1995147.27,1905140.22,90007.05,4.51,14327,NS001-666408595-983,Store,01-03-2025,C10344,Bangles,xyz,Female,PCJ-PLAIN,37.22,38.05,1,0.43,A280680
South,MUMBAI,Antique,Bracelets,1223126.03,265,BB10345,1399069.64,1338472.82,60596.82,4.33,17421,NS001-744551356-949,Online,22-04-2025,C10345,Bracelets,classic,Male,MODERN,24.37,26.23,1,1.45,A748215
South,CHENNAI,KDM,Bracelets,2128399.84,337,BB10346,2591062.29,2516242.54,74819.75,2.89,16612,NS001-793127744-217,Store,29-03-2025,C10346,Chains,classic,Male,TRADITIONAL,24.03,25.48,1,1.82,A497618
South,MUMBAI,Antique,Bracelets,1477640.5,409,BB10347,1800825.93,1730874.98,69950.95,3.88,15357,NS001-479546480-982,Online,20-03-2025,C10347,Bracelets,bold,Female,IND-GOLD,11.09,12.26,1,1.65,A383820
East,MUMBAI,CZ,Bracelets,2159241.18,231,BB10348,2733146.32,2599793.67,133352.65,4.88,11714,NS001-577617209-121,Store,13-03-2025,C10348,Chains,bold,Male,TRADITIONAL,36.51,37.34,3,1.63,A885388
North,DELHI,KDM,Chains,1801194.61,272,BB10349,1983988.36,1931127.38,52860.98,2.66,15966,NS001-826715591-329,Store,11-04-2025,C10349,Bracelets,abc,Female,TRADITIONAL,21.67,23.34,2,1.83,A205105
North,HYDERABAD,Plain,Bangles,2159680.12,322,BB10350,2603640.23,2534801.2,68839.03,2.64,11475,NS001-283539608-317,Online,29-04-2025,C10350,Chains,bold,Male,IND-GOLD,41.41,43,3,0.95,A291097
South,CHENNAI,CZ,Bracelets,2233384.06,411,BB10351,2601547.74,2561233.44,40314.3,1.55,12264,NS001-156882792-995,Store,16-03-2025,C10351,Bangles,bold,Male,MODERN,44,45.77,2,1.66,A600866
Central,BANGALORE,Antique,Bangles,1007588.64,324,BB10352,1134515.72,1111070.36,23445.36,2.07,12442,NS001-627023532-406,Store,29-04-2025,C10352,Chains,classic,Female,MODERN,19.07,20.75,2,1.88,A988131
South,MUMBAI,KDM,Rings,2335391.23,219,BB10353,2605433.45,2544434.47,60998.98,2.34,15736,NS001-744490767-324,Online,03-04-2025,C10353,Bracelets,bold,Female,IND-GOLD,16.82,17.48,2,1.99,A685961
North,MUMBAI,Plain,Bangles,2116469.74,441,BB10354,2504688.1,2459491.03,45197.07,1.8,13551,NS001-352133416-210,Online,12-04-2025,C10354,Chains,classic,Female,MODERN,42.12,43.73,3,1.7,A647766
East,MUMBAI,Plain,Bangles,1494643.73,464,BB10355,1683981.29,1637457.36,46523.93,2.76,18876,NS001-120026562-393,Online,06-03-2025,C10355,Rings,xyz,Female,IND-GOLD,44.99,45.54,2,1.03,A644483
East,DELHI,CZ,Bangles,2338522.36,391,BB10356,2756237.97,2704369.99,51867.98,1.88,13913,NS001-146446416-935,Online,17-04-2025,C10356,Bracelets,xyz,Male,TRADITIONAL,10.65,11.69,1,1.44,A124312
West,CHENNAI,Plain,Bracelets,1842085.39,462,BB10357,2115297.67,2019483.8,95813.87,4.53,17874,NS001-371473494-515,Store,04-04-2025,C10357,Bracelets,xyz,Male,TRADITIONAL,11.95,12.69,3,0.98,A554863
Central,DELHI,KDM,Bracelets,1763084.67,109,BB10358,2278071.7,2208793.67,69278.03,3.04,14903,NS001-838706012-257,Online,23-04-2025,C10358,Bracelets,classic,Male,IND-GOLD,32.45,33.19,3,1.48,A311834
South,DELHI,KDM,Chains,2483804.18,377,BB10359,2815488.74,2698386.72,117102.02,4.16,16146,NS001-550334139-913,Online,02-04-2025,C10359,Bangles,bold,Female,IND-GOLD,21.04,22.01,3,2.48,A473734
South,HYDERABAD,CZ,Chains,1775825.4,435,BB10360,2189693.54,2090536.55,99156.99,4.53,19554,NS001-742818058-770,Store,13-04-2025,C10360,Rings,abc,Female,TRADITIONAL,48.82,49.52,3,1.11,A198790
East,CHENNAI,Antique,Bangles,1966425.45,354,BB10361,2208598.34,2133830.86,74767.48,3.39,16562,NS001-957320254-457,Online,08-03-2025,C10361,Bangles,xyz,Male,IND-GOLD,42.56,43.36,3,0.01,A873314
Central,MUMBAI,CZ,Bangles,1253159.1,275,BB10362,1502445.63,1459790.6,42655.03,2.84,13951,NS001-142091840-154,Online,10-04-2025,C10362,Bracelets,classic,Female,PCJ-PLAIN,39.34,40.87,3,1.62,A730420
West,DELHI,Plain,Bracelets,2470085.58,146,BB10363,2841317.94,2706674.28,134643.66,4.74,18623,NS001-914590935-489,Online,05-04-2025,C10363,Rings,abc,Male,PCJ-PLAIN,33.21,34.21,2,1.78,A113706
North,BANGALORE,CZ,Chains,1339438.77,101,BB10364,1623960.1,1582597.91,41362.19,2.55,11498,NS001-698394477-406,Online,09-04-2025,C10364,Rings,classic,Female,IND-GOLD,14.35,15.04,2,0.99,A648826
North,MUMBAI,Plain,Rings,2345764.46,153,BB10365,2633427.02,2568305.5,65121.52,2.47,17137,NS001-751790212-186,Store,13-04-2025,C10365,Bangles,xyz,Female,TRADITIONAL,36.51,38.22,3,2.02,A617609
South,HYDERABAD,Plain,Bracelets,2077901.52,214,BB10366,2423300.4,2391085.24,32215.16,1.33,11062,NS001-957914322-157,Store,10-04-2025,C10366,Bracelets,bold,Female,MODERN,29.44,31.13,2,0.02,A113463
North,MUMBAI,Plain,Rings,1787347.99,287,BB10367,2251274.71,2210641.7,40633.01,1.8,13133,NS001-513558360-726,Online,08-04-2025,C10367,Chains,bold,Female,IND-GOLD,13.34,15.05,2,0.83,A694324
